DATE,year,month,DAY,date,starttime,endtime,endestimate,home,latitude,longitude,location,City ,State,opponents,Start Time,End Time,Attendence ,team name,season,Event Name,score,Win 
2017/3/21,2017,3,21,20170321,202210160000,202301130000,N,N,,,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",,,,,,,,,,,
2017/4/7,2017,4,07,20170407,202210030000,202305110000,N,Y,39.288416,-76.618720,"Royal Farms Arena, Baltimore, MD",,,,,,,,,,,
2017/4/9,2017,4,09,20170409,202301130000,202308010000,Y,N,,,"El Centro de Usos Multiples, Mazatlan, Sinaloa",,,,,,,,,,,
2017/4/10,2017,4,10,20170410,202007280000,202102130000,Y,N,,,"El Centro de Usos Multiples, Mazatlan, Sinaloa",,,,,,,,,,,
2015/1/3,2015,1,03,20150103,202003220000,202010080000,Y,N,,,"Farm Show Large Arena, Harrisbug, Pennsylvana",,,,,,,,,,,
2015/1/10,2015,1,10,20150110,202004280000,202011140000,Y,Y,39.288416,-76.618720,"Royal Farms Arena, Baltimore, MD",,,,,,,,,,,
2015/1/16,2015,1,16,20150116,202004040000,202010210000,Y,N,,,"UW-Milwaukee Panther Arena, Milwaukee, Wisconsin",,,,,,,,,,,
2015/1/17,2015,1,17,20150117,202004050000,202010220000,Y,N,,,"Melvindale Civic Center, Melcindale, Michigan",,,,,,,,,,,
2015/1/24,2015,1,24,20150124,202001030000,202007210000,Y,Y,39.288416,-76.618720,"Royal Farms Arena, Baltimore, MD",,,,,,,,,,,
2015/2/6,2015,2,06,20150206,202004200000,202011060000,Y,N,,,"Orleans Arena, Las Vegas, NV",,,,,,,,,,,
2015/2/7,2015,2,07,20150207,202004260000,202011120000,Y,N,,,"Valley View Casino Center,San Diego, California ",,,,,,,,,,,
2015/2/13,2015,2,13,20150213,202006010000,202012180000,Y,Y,39.288416,-76.618720,"Royal Farms Arena, Baltimore, MD",,,,,,,,,,,
2015/2/20,2015,2,20,20150220,202006080000,202012250000,Y,Y,39.288416,-76.618720,"Royal Farms Arena, Baltimore, MD",,,,,,,,,,,
2015/2/21,2015,2,21,20150221,202001310000,202008180000,Y,Y,39.288416,-76.618720,"Royal Farms Arena, Baltimore, MD",,,,,,,,,,,
2015/2/27,2015,2,27,20150227,202006150000,202101010000,Y,N,,,"Farm Show Large Arena, Harrisbug, Pennsylvana",,,,,,,,,,,
2015/3/1,2015,3,01,20150301,201907180000,202002030000,Y,N,,,"Blue Cross Arena, Rochester, New York",,,,,,,,,,,
2015/3/11,2015,3,11,20150311,202005280000,202012140000,Y,Y,39.288416,-76.618720,"Royal Farms Arena, Baltimore, MD",,,,,,,,,,,
2015/3/13,2015,3,13,20150313,201904260000,201911120000,Y,Y,39.288416,-76.618720,"Royal Farms Arena, Baltimore, MD",,,,,,,,,,,
2015/3/15,2015,3,15,20150315,201904280000,201911140000,Y,N,,,"Independence Events Center, Independence, Missouri",,,,,,,,,,,
2015/3/20,2015,3,20,20150320,202007060000,202101220000,Y,Y,39.288416,-76.618720,"Royal Farms Arena, Baltimore, MD",,,,,,,,,,,
2015/3/22,2015,3,22,20150322,201911210000,202006080000,Y,N,,,"Arena Monterrey, Monterrey, Mexico",,,,,,,,,,,
2015/3/22,2015,3,22,20150322,202007080000,202101240000,Y,N,,,"Arena Monterrey, Monterrey, Mexico",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
